query,response
"What are your business hours?","We are open Monday to Friday from 9 AM to 6 PM, and Saturday from 10 AM to 4 PM."
"How can I track my order?","You can track your order by logging into your account and visiting the 'Order Status' section, or by using the tracking number provided in your order confirmation email."
"What is your return policy?","We offer a 30-day return policy. Items must be unused and in original packaging. Please contact our customer service to initiate a return."
"How do I reset my password?","To reset your password, click on 'Forgot Password' on the login page. You'll receive a password reset link via email."
"What payment methods do you accept?","We accept all major credit cards (Visa, MasterCard, American Express), PayPal, and bank transfers."
"Do you ship internationally?","Yes, we ship to most countries worldwide. Shipping costs and delivery times vary by location."
"How can I contact customer support?","You can reach our customer support team via email at support@example.com or by calling our toll-free number: 1-800-123-4567."
"What is your warranty policy?","Our products come with a 1-year manufacturer warranty. Extended warranty options are available at checkout."
"How do I update my shipping address?","You can update your shipping address by logging into your account and editing your profile information."
"Do you offer student discounts?","Yes, we offer a 10% student discount. Please provide your student ID during checkout to apply the discount."  
